sep=,
SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds
COC=1C=CC(C=C(C#N)C(=O)NC=2C=CC(=CC2O)[N+]([O-])=O)=CC1OC(=O)C=3C=CC=C4C=CC=CC34,Z56836729,509.468,509.468,5.486,-8.35,2,7,151.79,9
N#CC(=CC=1C(=CC=C2C=CC=CC12)OCC=3C=CC=CC3)C(=O)NC=4C=CC=CC4[N+]([O-])=O,Z56836752,449.459,449.459,5.683,-8.49,1,5,105.26,8
CC1=CC=C(O1)C2N(C(=O)C2(F)F)C=3C=CC(=CC3)OCC=4C=CC=CC4,Z2734834192,369.362,369.362,6.049,-6.07,0,2,42.68,5
CCOC(=O)C1=C(NC(=O)C(C#N)=CC=2C=CC(Cl)=CC2)SC=3CN(CC=4C=CC=CC4)CCC13,Z56855278,506.018,506.018,6.288,-7.11,1,4,82.43,9
CCOC(=O)C=1C(=CSC1NC(=O)C(C#N)=CC=2C=CC(=CC2)N(CC)CC)C=3C=CC=CC3,Z56830527,473.589,473.589,6.799,-7.72,1,4,82.43,11
COC=1C=C(C=CC1NC(=O)C(C#N)=CC=2C=CC(OC(=O)C3=CC=CC=4C=CC=CC34)=C(C2)OC)[N+]([O-])=O,Z56832485,523.494,523.494,5.147,-8.73,1,7,140.79,10
N#CC(=CC1=CN(N=C1C=2C=CC(Cl)=CC2)C=3C=CC=CC3)C(=O)N4CCCCCC4,Z56850979,430.93,430.93,6.032,-6.48,0,3,61.92,5
N#CC(=CC=1C=CC=C(C1)OC(=O)C=2C=CC=C3C=CC=CC23)C(=O)NC=4C=C(Cl)C=C(Cl)C4,Z56832613,487.334,487.334,7.413,-9.57,1,3,79.19,7
CC(C)(C)C=1C=CC(=CC1)OCC(=O)NNC(=O)C(C#N)=CC=2C=CC=CC2,Z56865845,377.437,377.437,4.24,-6.16,2,4,91.22,9
CCOC=1C=CC(=CC1)NC(=O)C(C#N)=CC2CC=CCC2,Z56864590,296.364,296.364,3.607,-4.68,1,3,62.12,6
CC=1C=CC=CC1N=C2SCC(C)(C)N2C(=O)C(C#N)=CC=3C=CC=4OCOC4C3,Z56865014,419.498,419.498,5.688,-7.09,0,5,74.92,4
CCOC(=O)C1=C(NC(=O)COC(=O)[C@@H](NS(=O)(=O)C=CC=2C=CC=CC2)C(C)C)SC=3CCCC13,Z57026867,534.648,534.648,5.31,-6.77,2,5,127.87,14
